ID,Date_NY,Time_NY,Duration_sec,CurrentJob,CarrerSwitch,SaleryRange_USDperYear,WorkField,FavLanguage,SalerySat,WLBalanceSat,CoworkerSat,ManagementSat,UpwardMobSat,DevelopmentSat,EntryDifficulty,JobImportance,Sex,Age,HomeContry,Education,Ethnicity,WeekDay,SaleryMean_USDperYear
62a33b3db4da29969c62df3d,10-06-2022,08:38:00,44.0,Data Analyst,True,106k-125k,Healthcare,Python,9.0,9.0,7.0,5.0,5.0,7.0,Very Difficult,Remote Work,Male,26,United States,Not Specified,White or Caucasian,Friday,115500.0
62a33ba1bae91e4b8b82e35c,10-06-2022,08:40:00,90.0,Data Analyst,False,41k-65k,Finance,R,1.0,2.0,5.0,2.0,1.0,3.0,Very Difficult,Remote Work,Male,36,Canada,Not Specified,Asian or Asian American,Friday,53000.0
62a33c2cbc6861bf3176bec1,10-06-2022,08:42:00,138.0,Data Engineer,False,0-40k,Other,Python,0.0,8.0,7.0,5.0,7.0,7.0,Easy,Good Work/Life Balance,Male,23,Nigeria,Not Specified,Black or African American,Friday,20000.0
62a33c8624a26260273822f9,10-06-2022,08:43:00,130.0,Analytics,True,150k-225k,Finance,R,10.0,6.0,7.0,10.0,7.0,10.0,Very Easy,Remote Work,Female,35,Canada,Not Specified,White or Caucasian,Friday,187500.0
62a33c91f3072dd892621e03,10-06-2022,08:44:00,111.0,Data Analyst,True,41k-65k,Healthcare,R,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,Better Salary,Male,44,United States,Not Specified,Black or African American,Friday,53000.0
62a33cb6cf25554317300177,10-06-2022,08:44:00,154.0,Data Analyst,True,0-40k,Other,Python,2.0,3.0,3.0,3.0,3.0,2.0,Difficult,Good Work/Life Balance,Male,33,Republic Democratic Of Congo,Not Specified,Black or African American,Friday,20000.0
62a33cb72e54c9003e531c65,10-06-2022,08:44:00,75.0,Data Scientist,True,0-40k,Finance,Python,0.0,6.0,6.0,6.0,6.0,5.0,Difficult,Better Salary,Male,24,Other,Not Specified,Black or African American,Friday,20000.0
62a33cd30f8c8599d5af0f8f,10-06-2022,08:45:00,85.0,Data Engineer,True,125k-150k,Retail,Other,10.0,5.0,5.0,5.0,5.0,9.0,Neither easy nor difficult,Remote Work,Male,35,United States,Not Specified,Asian or Asian American,Friday,137500.0
62a33cd3cf255543173001d9,10-06-2022,08:45:00,130.0,Data Analyst,True,86k-105k,Healthcare,R,4.0,4.0,4.0,4.0,5.0,5.0,Neither easy nor difficult,Better Salary,Male,35,United States,Not Specified,Asian or Asian American,Friday,95500.0
62a33cd8bc6861bf3176c05f,10-06-2022,08:45:00,87.0,Data Analyst,True,41k-65k,Telecommunication,Python,2.0,0.0,3.0,3.0,0.0,4.0,Very Difficult,Better Salary,Male,28,United States,Not Specified,Hispanic or Latino,Friday,53000.0
62a33ce918134ddc75ce8c30,10-06-2022,08:45:00,89.0,Data Analyst,True,66k-85k,Logistics,Python,10.0,10.0,8.0,8.0,8.0,10.0,Neither easy nor difficult,Remote Work,Male,37,Canada,Not Specified,White or Caucasian,Friday,75500.0
62a33cf30a77c1a77f65baa2,10-06-2022,08:45:00,151.0,Data Analyst,True,0-40k,Other,Python,3.0,8.0,10.0,10.0,7.0,8.0,Neither easy nor difficult,Better Salary,Male,32,Serbia,Not Specified,White or Caucasian,Friday,20000.0
62a33d15f408bae018ed370d,10-06-2022,08:46:00,200.0,Data Analyst,True,0-40k,Tech,R,1.0,10.0,9.0,9.0,5.0,10.0,Neither easy nor difficult,Better Salary,Male,34,Argentina,Not Specified,Other,Friday,20000.0
62a33d1ebae91e4b8b82e707,10-06-2022,08:46:00,55.0,Data Scientist,True,0-40k,Education,Python,3.0,10.0,10.0,6.0,7.0,8.0,Easy,Good Work/Life Balance,Male,30,United Kingdom,Not Specified,White or Caucasian,Friday,20000.0
62a33d4624a26260273824c4,10-06-2022,08:47:00,84.0,Data Analyst,False,41k-65k,Construction,R,4.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,31,United States,Not Specified,White or Caucasian,Friday,53000.0
62a33d5c0f8c8599d5af107c,10-06-2022,08:47:00,47.0,Data Analyst,True,41k-65k,Finance,Python,4.0,10.0,7.0,7.0,7.0,5.0,Difficult,Good Culture,Male,29,United States,Not Specified,White or Caucasian,Friday,53000.0
